127.0.0.1 - - [26/Jan/2024:15:45:03 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:45:04 +0530] "GET /Spring_MVC_demo/ HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:45:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:45:10 +0530] "GET /Spring_MVC_demo/open-home HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [26/Jan/2024:15:45:13 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:26:17 +0530] "POST /Spring_MVC_demo/register HTTP/1.1" 500 5684
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:28:10 +0530] "POST /Spring_MVC_demo/register HTTP/1.1" 500 5684
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:28:14 +0530] "POST /Spring_MVC_demo/register HTTP/1.1" 500 5684
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:28:25 +0530] "POST /Spring_MVC_demo/register HTTP/1.1" 500 5684
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:29:09 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:30:37 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:30:38 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:30:38 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:30:38 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:30:38 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:30:39 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:31:46 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:31:47 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:31:49 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:32:15 +0530] "POST /Spring_MVC_demo/register HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:33:12 +0530] "POST /Spring_MVC_demo/register HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:34:48 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:34:48 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:35:12 +0530] "POST /Spring_MVC_demo/register HTTP/1.1" 500 5684
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:36:45 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:36:46 +0530] "POST /Spring_MVC_demo/register HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:38:10 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:38:10 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:38:29 +0530] "POST /Spring_MVC_demo/register HTTP/1.1" 500 5684
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:40:28 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:40:42 +0530] "POST /Spring_MVC_demo/register HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:41:03 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1036
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:41:08 +0530] "GET /Spring_MVC_demo/open-view?view=sum HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:41:12 +0530] "GET /Spring_MVC_demo/open-view?view=subtract HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:41:15 +0530] "GET /Spring_MVC_demo/open-view?view=multiple HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [26/Jan/2024:16:41:18 +0530] "GET /Spring_MVC_demo/open-view?view=divide HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [26/Jan/2024:20:06:53 +0530] "GET /Spring_MVC_demo/open-register HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [26/Jan/2024:20:07:29 +0530] "POST /Spring_MVC_demo/register HTTP/1.1" 200 162
